date,losses,player,wins
1997-04-16,43,Hoshiai Shiho,29
1987-06-10,29,Hatanaka Hoshinobu,14
1997-01-05,26,Takashima Yugo,15
1978-11-23,15,Shiung Feng,12
2002-08-12,3,Rafif Shidqi Fitrah,3
1991-02-02,27,Kazama Jun,14
1969-09-08,28,Kitano Ryo,18
1995-10-18,30,Jia Ganglu,23
1989-07-13,22,Sato Yuta,13
1997-11-08,12,Muramoto Wataru,5
1960-10-16,61,Kim Chongsu,53
1974-01-14,44,Kono Mitsuki,30
2006-10-19,2,Xiao Zebin,1
2002-08-16,2,Yu Suhao,1
1956-04-28,120,Kim Ilhwan,86
1963-05-25,123,Michael Redmond,69
1973-02-08,17,Mizuma Toshifumi,5
2000-12-12,41,Zeng Pinjie,35
1993-12-21,9,Torii Yuta,3
-,6,Lai Youcheng,3
2001-02-24,11,Ryu Joohyun,8
2003-08-12,3,Zhang Mingkang,1
1989-04-08,22,Kunisawa Hiroto,8
1971-12-21,21,Yanaka Katsunori,11
1940-08-02,295,Kudo Norio,239
2004-07-06,2,Oh Seungmin,1
1967-05-03,30,Nishimura Keiji,16
-,3,Zhu Feihong,2
1951-01-15,51,Jimmy Cha,50
2003-02-02,3,Mishima Hibiki,4
-,3,Cao Zhenyu,1
2000-09-10,16,Yahata Naoki,6
1999-07-31,23,Watanabe Yuu,11
1973-11-25,38,Tajima Shingo,14
2006-06-24,20,Ueno Risa,18
1999-11-29,40,Zhuang Chengjun,30
1983-07-14,26,Yamada Shinji,19
-,1,Ding Yichen,1
2002-06-21,2,Chen Chen,1
1988-06-08,9,Pan Wenjun,4
1997-06-10,4,Chen Xuan,1
1971-05-14,49,Takanashi Seiken,27
-,2,Gao Ruohuan,1
1996-12-27,27,Utsumi Koki,10
1992-03-08,60,Lin Xiuping,59
1994-02-25,61,Park Taehee,50
2001-05-10,8,Takao Mari,5
2002-02-02,5,Cai Wenxin,2
-,2,Shigekawa Keigo,1
1976-01-16,42,Suzuki Yoshimichi,25
2007-05-11,11,Yan Ximo,7
2006-02-18,32,Jeong Yujin,17
1972-10-02,45,Arimura Hiroshi,31
2001-04-09,19,Gu Wanshan,9
2006-02-02,26,Li Sixuan,10
2004-06-12,14,Xu Jingqi,6
1987-05-18,48,Kim Soojin,24
1991-05-31,68,Kang Dajeong,43
1961-11-08,62,An Kwanwuk,63
1966-09-22,44,Okada Shinichiro,14
1996-08-06,9,Shintani Yousuke,4
1993-09-26,12,Ito Kenryo,4
-,4,Li Ying (b),3
1954-08-23,78,Chin Kaei,42
1969-06-24,78,Ishida Atsushi,24
1956-07-27,58,Kim Kihun,44
-,2,Shimizu Takuya,1
1969-11-26,3,Fujiwara Katsuya,1
1977-06-20,119,Kobayashi Izumi,138
1984-09-10,78,Lin Yuxiang,66
1996-12-31,65,Lin Shimin,53
1944-06-25,191,Hane Yasumasa,182
1979-02-04,10,Qiu Danyun,4
2004-06-01,5,Zhangluo Zixin,1
1972-12-12,28,Kato Yuuki,14
1988-03-18,38,Yanagisawa Satoshi,13
1963-01-03,43,Park Seungmun,43
2005-07-31,2,Kumaki Teruya,1
1998-10-08,44,Kang Jisoo,24
1957-08-04,35,Sonoda Yasutaka,14
1957-12-09,153,Kang Hun,111
-,2,Fujisawa Rihide,1
1964-08-12,24,Fujisawa Kazunari,12
1968-07-08,53,Sakai Maki,20
1989-07-19,13,Ota Ryou,6
2003-04-16,41,Kim Kyeongeun,20
1949-11-29,145,Miyazawa Goro,104
1998-08-26,2,Takayama Befumi,2
1970-01-03,79,Koyama Terumi,66
1995-03-09,3,Li Wanpeng,1
1975-07-23,29,Kurotaki Masanori,16
2001-09-23,9,Kim Jena,3
1957-01-10,87,Kim Dongyeop,67
2001-09-13,25,Kato Chie,16
1973-10-04,31,Yoshihara Yukari,30
1966-11-23,21,Hiroe Hiroyuki,10
2000-04-28,7,Sakai Kentaro,3
1997-09-08,60,Kwon Juri,26
1997-08-03,6,Nakano Shoya,1
-,2,Kuwabara Ki,1
2001-08-27,6,Yuan Jie,3
